ID,Comments
3056,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1246,The handset really sucked. I could not hear anything near my house.
1307,Handset sucked
1166,Hopes to get an additonal line working by the end of the week for his wife.
2584,Asked how to disable call waiting. referred him to web site.
1225,Wanted to know the nearest store location. Wants to buy additional accessories.
3409,I suspect that the handset on my phone was defective from the day I bought it.
1808,The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since we can not keep our end of t
3180,"He hates his phone. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car"
1499,Needed help figuring out his bill. I explained our minute charges.
772,I expected significantly better service.
442,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
1646,Wants to change adress.
2236,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
1782,Wanted to know the nearest store location. Wants to buy additional accessories.
1148,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
916,Wants to add another phone. Contacting provisioning.
488,Wanted to know the nearest store location. Wants to buy additional accessories.
2341,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
1360,cant figure out how to check his vm when out of area. I referred him to our web site.
140,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
827,Wanted to know the nearest store location. Wants to buy additional accessories.
1085,transferred to manager ASAP
1110,Really wants the new phone from XVYX which has the PDA built in.
1282,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
983,Needed help figuring out his bill. I explained our minute charges.
2909,Hopes to get an additonal line working by the end of the week for his wife.
3300,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2611,Lost his charger and wants to know where he can another ASAP. I suggested local store.
3002,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
2993,Asked about how to change his ring tones. Referred him to web site.
1779,Wanted to know the nearest store location. Wants to buy additional accessories.
1448,Asked about how to change his ring tones. Referred him to web site.
3420,Wanted to know the nearest store location. Wants to buy additional accessories.
1645,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
900,Wants to know how to do text messaging. Referred him to web site.
2140,I needed a handset which also functioned as a PDA. You did not offer such a model.
1087,He expected significantly better Technical Support.
3716,He expected significantly better Technical Support.
3156,Wants to add another phone. Contacting provisioning.
2485,Asked about how to change his ring tones. Referred him to web site.
719,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2771,Needed help figuring out his bill. I explained our minute charges.
3725,Asked about how to change his ring tones. Referred him to web site.
3785,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
782,"She wants a new phone. Has tried to use a couple of different model, but is now fed up. She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different phone that works great. She also wa"
2891,Wanted to know the nearest store location. Wants to buy additional accessories.
2414,The signal on my handset was always weak. Even when I replaced the battery.
1346,transferred to manager ASAP
2082,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
1277,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
954,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
1018,Wanted to know the nearest store location. Wants to buy additional accessories.
83,Said his battery never has worked well. Wants a new phone ASAP.
36,Said his battery never has worked well. Wants a new phone ASAP.
1119,He asked for a new phone number. I referred him to customer care.
239,Wanted to know the nearest store location. Wants to buy additional accessories.
3676,Lost the directions to phone and wants another manual. I referred him to web site.
1831,He does not know if the problems are related to the phone or if it is just the battery.
2516,Called about new plan. Might switch soon. Wants more minutes.
3207,Wants to know how to do text messaging. Referred him to web site.
2624,Said his battery never has worked well. Wants a new phone ASAP.
803,Very unhappy with new phone because it does not use a simm chip. He says he wll have to reenter all his information in his phone book and he finds that a waste of time. Claims other companies use simm to make this easier with their phones.
2963,Wants to know how to do text messaging. Referred him to web site.
1545,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
626,Wants to add additional lines for family. Needs more info on rates.
2185,Wants to know how to do text messaging. Referred him to web site.
3416,Wanted to know the nearest store location. Wants to buy additional accessories.
560,Asked how to disable call waiting. referred him to web site.
473,Needed help figuring out his bill. I explained our minute charges.
3430,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.
2247,Called about new plan. Might switch soon. Wants more minutes.
2672,"He hates his phone. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car"
2855,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
3631,Hopes to get an additonal line working by the end of the week for his wife.
3118,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
1229,Really wants the new phone from XVYX which has the PDA built in.
3301,Wanted to know the nearest store location. Wants to buy additional accessories.
198,Wants information on our Internet service. Referred him to web site.
3170,Wanted to know the nearest store location. Wants to buy additional accessories.
2460,Wants a new faceplate.
3261,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
1465,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
1851,Wanted to know the nearest store location. Wants to buy additional accessories.
3451,Wants to know how to do text messaging. Referred him to web site.
3541,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
791,The customer has a number of complaints. His major issue was that the handset buttons were hard to use. He was not happy with the phone at all.
1098,Really wants the new phone from XVYX which has the PDA built in.
743,The handset never worked well after I dropped it in the toilet. I am surprised it ever worked after that.
1377,"He says that his phone works fine when using it in the car with the adapter, but the battery performance sucks. He can not wait to change phones. He wanted to know if we would send him a new phone."
1770,Wanted to know the nearest store location. Wants to buy additional accessories.
3769,Needed help figuring out his bill. I explained our minute charges.
2175,cant figure out how to check his vm when out of area. I referred him to our web site.
779,Says that his Web reception really is just to slow. Wants to know when he can expect this to work at a decent rate of speed? He also wants to know why it worked so much better at the store?
3084,Asked how to disable call waiting. referred him to web site.
574,"He says that his phone works fine when using it in the car with the adapter, but the battery performance sucks."
2992,Wants a new faceplate.
931,Asked about how to change his ring tones. Referred him to web site.
2393,Wants to get an additional line working by the end of the week. Forwarded him on to cstmr care.
3303,Wanted to know the nearest store location. Wants to buy additional accessories.
741,Wanted to know the nearest store location. Wants to buy additional accessories.
2267,Really is unhappy with the website. Claims the self service stuff does not work.
577,Claims the phone does not work well. If the phone does not work consistently why should he pay consisitently. Good point.
3165,I suspect that the handset on my phone was defective from the day I bought it.
2144,I suspect that the handset on my phone was defective from the day I bought it.
686,Asking for a change of address and wants to switch plans. Transeffered him to customr care.
339,Handset sucked
418,Wants a new faceplate.
1104,He asked for a new phone number. I referred him to customer care.
3712,I expected significantly better Technical Support.
2275,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
3272,Wants to add additional lines for family. Needs more info on rates.
3767,Needed help figuring out his bill. I explained our minute charges.
3481,Asked about how to change his ring tones. Referred him to web site.
3441,"He found a phone and wanted to know what to do with it. He said it was one of ours, but that the battery was dead. Asked who he should send it too."
2565,Wants to get an additional line working by the end of the week for his goat.
3035,Needed help figuring out his bill. I explained our minute charges.
114,Wants to add additional lines for family. Needs more info on rates.
3705,I expected significantly better Technical Support.
3078,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1547,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
398,Wants to know how to do text messaging. Referred him to web site.
1190,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
3077,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
984,Needed help figuring out his bill. I explained our minute charges.
11,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2875,Lost his charger and wants to know where he can another ASAP. I suggested local store.
2912,Wants to add another phone. Contacting provisioning.
88,Really wants the new phone from XVYX which has the PDA built in.
797,Does not like the way the phone works. It is to difficult compared to his last phone.
1516,Wanted to know the nearest store location. Wants to buy additional accessories.
1,Asked about how to change his ring tones. Referred him to web site.
1004,Wanted to know the nearest store location. Wants to buy additional accessories.
2359,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2924,Wanted to know the nearest store location. Wants to buy additional accessories.
336,cant figure out how to check his vm when out of area. I referred him to our web site.
707,He wanted credit for all these dropped calls. I told him I would pass him onto a supervisor. He was really rude and very upset. Said he could not use us for business purposes because of our useless service.
1279,I wished the handset was bigger. It is uncomfortable using the handset for a long time.
3411,Wanted to know the nearest store location. Wants to buy additional accessories.
1865,Said his battery never has worked well. Wants a new phone ASAP.
2240,Wants to change rate plans to get family all on same bill. I transferred him to cstmer care.
3152,Hopes to get an additonal line working by the end of the week for his wife.
2978,Wants to add another phone. Contacting provisioning.
2864,Wants to add additional lines for family. Needs more info on rates.
572,I expected significantly better Technical Support.
3011,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
2150,Wanted to know the nearest store location. Wants to buy additional accessories.
1352,He asked for a new phone number. I referred him to customer care.
1619,Said his battery never has worked well. Wants a new phone ASAP.
1588,He expected significantly better Technical Support.
759,The clearity of the calls was bad. Way too much static on the handset.
591,Said his battery never has worked well. Wants a new phone ASAP.
2503,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
3015,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
2273,Wanted to know the nearest store location. Wants to buy additional accessories.
2326,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
1361,"He found a phone and wanted to know what to do with it. He said it was one of ours, but that the battery was dead. Asked who he should send it too."
1069,Asked how to disable call waiting. referred him to web site.
120,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
3739,Wants to know how to do text messaging. Referred him to web site.
2117,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
652,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
3677,Asked about coverage in Los Angeles and New York. Is afraid that he will be out of network when traveling.
298,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.
2619,"Wants to add additional lines and phones for his kids. I created the ticket, but dont kno when someone will get back to him. He asked if I could get back to him."
1934,Wants to know how to do text messaging. Referred him to web site.
2027,Wanted to know the nearest store location. Wants to buy additional accessories.
3387,Hopes to get an additonal line working by the end of the week for his wife.
3795,Wanted to know the nearest store location. Wants to buy additional accessories.
1492,Wants to change address.
530,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
598,Really wants the new phone from XVYX which has the PDA built in.
1584,Asked how to disable call waiting. referred him to web site.
845,transferred to manager ASAP
3177,The handset reception was worse than abysmal.
2347,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
2501,Wants to know how to do text messaging. Referred him to web site.
2064,Asked how to disable call waiting. referred him to web site.
1879,Does not like the way the phone works. It is to difficult compared to his last phone.
2061,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2216,Asked about how to change his ring tones. Referred him to web site.
247,The clearity of the calls was bad. Way too much static on the handset.
1954,Wants a new faceplate.
1162,Wants to change address.
281,Your customer handset was really bad. I had to wait forever to get help.
1127,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
2109,Needs help with basic phone usage. I suggested he go back to the store and ask for some help.
1806,"She wants a new phone. Has tried to use a couple of different model, but is now fed up. She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different phone that works great. She also wa"
2410,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1943,Wants information on our Internet service. Referred him to web site.
2574,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
74,Really wants the new phone from XVYX which has the PDA built in.
1676,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
3012,Wants to change rate plans to get family all on same bill. I transferred him to cust-omer care.
2490,Asked about how to change his ring tones. Referred him to web site.
3467,Needed help figuring out his bill. I explained our minute charges.
1647,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
1151,Lost his charger and wants to know where he can another ASAP. I suggested local store.
1398,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
2529,Needed help figuring out his bill. I explained our minute charges.
1737,Wanted to know the nearest store locatn. Wants to buy additional accessories.
181,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.
3527,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he phone does not work well.
2306,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1760,The handset really sucked. I could not hear anything near my house.
3243,Asked about how to change his ring tones. Referred him to web site.
1292,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1267,Wanted to know the nearest store location. Wants to buy additional accessories.
3379,Wanted to know the nearest store location. Wants to buy additional accessories.
351,"He called and said someone stole his phone last week, but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy."
169,Needed help figuring out his bill. I explained our minute charges.
2729,Asked about how to change his ring tones. Referred him to web site.
2436,Lost the directions to phone and wants another manual. I referred him to web site.
2658,The signal on my handset was always weak. Even when I replaced the battery.
1274,He claims his bill always seemed to have calls he did not make.
3348,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
1017,Wanted to know the nearest store location. Wants to buy additional accessories.
414,Wants a new faceplate.
2036,Wanted to know the nearest store lctn. Wants to buy additional accessories.
1625,Said his battery never has worked well. Wants a new phone ASAP.
737,Is it possible that the handset is causing brain cancer. I heard about this from the news.
2173,He asked for a new phone number. I referred him to customer care.
2932,Wanted to know the nearest store location. Wants to buy additional accessories.
1491,Wants to change address.
3363,Lost his charger and wants to know where he can another ASAP. I suggested local store.
305,He really thinks the reception is inadequate everywhere but on the highway. Wants to know when this will be fixed?
2853,Said his battery never has worked well. Wants a new phone ASAP.
3382,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
2644,Hopes to get an additonal line working by the end of the week for his wife.
1159,Claims he never received his bill. Was really unhappy that I asked him for his cc. Wanted me to turn on his phone. I switched him ot the manager.
1118,He expected significantly better Technical Support.
1672,Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.
2558,Needs help with basic phone usage. I suggested he go back to the store and ask for some help.
1522,Wanted to know the nearest store location. Wants to buy additional accessories.
18,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2301,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1757,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
45,Asked how to disable call waiting. referred him to web site.
913,Wants to know how to do text messaging. Referred him to web site.
270,"She wants a new phone. Has tried to use a couple of different model, but is now fed up. She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different phone that works great. She also wa"
1409,Handset sucked
2068,Asked how to disable call waiting. referred him to web site.
2570,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2260,Needed help figuring out his bill. I explained our minute charges.
1171,Needs help with basic phone usage. I suggested he go back to the store and ask for some help.
3806,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2029,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1897,He hated the phone. Claims that the reception is horrible in many parts of the metropolitian area.
3699,He expected significantly better Technical Support.
795,Handset sucked
1281,I had a terrible time with the handset. It really did not work well.
1133,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
2756,Called about new plan. Might switch soon. Wants more minutes.
1253,Wanted to know the nearest store location. Wants to buy additional accessories.
1311,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
974,Wants to add additional lines for family. Needs more info on rates.
1099,He asked for a new phone number. I referred him to customer care.
2714,Wants to add another phone. Contacting provisioning.
1350,transferred to manager ASAP
2654,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1749,He is really upset with out false advertising. He thinks that we do not test any of the equipment.
1928,Wants to know how to do text messaging. Referred him to web site.
771,"He hates his phone. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car"
3694,Wants to know how to do text messaging. Referred him to web site.
1365,Handset sucked
3025,Called about new plan. Might switch soon. Wants more minutes.
1016,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.
3643,Wants information on our Internet service. Referred him to web site.
1750,"He loves the phone when it works. The problem is that the phone hardly ever works. He thinks the battery is lame. He was replaced it, but still has the same problem."
1243,"Cant believe he was stupid enough to sign a year contract. He thinks that we provide the worst service he has ever encountered. Furthermore, the phone is so shitty that he would not give it to an enemy. He now realizes you get what you pay for. I transfe"
2287,Wanted to know the nearest store location. Wants to buy additional accessories.
3592,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
3278,Needed help figuring out his bill. I explained our minute charges.
2305,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
138,Wants to change address.
160,Wanted to know the nearest store location. Wants to buy additional accessories.
2373,Hopes to get an additonal line working by the end of the week for his wife.
2533,Called about new plan. Might switch soon. Wants more minutes.
1399,Wanted more information on the family plan. Also asked about how he could use call screening.
3823,Said his battery never has worked well. Wants a new phone ASAP.
3108,Wants to add additional lines for family. Needs more info on rates.
523,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2291,Wanted to know the nearest store location. Wants to buy additional accessories.
894,He found a better rate and no contract. He said he cold not wait until his contract expired.
1474,Called about new plan. Might switch soon. Wants more minutes.
1871,He loves the phone when it works. The problem is that the phone hardly ever works. He thinks the battery is lame.
731,"Cant believe he was stupid enough to sign a year contract. He thinks that we provide the worst service he has ever encountered. Furthermore, the phone is so shitty that he would not give it to an enemy. He now realizes you get what you pay for. I transfe"
2354,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
967,Called about new plan. Might switch soon. Wants more minutes.
2838,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1976,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
1501,Needed help figuring out his bill. I explained our minute charges.
1872,cant figure out how to check his vm when out of area. I referred him to our web site.
3460,Wants to know how to do text messaging. Referred him to web site.
3613,Hopes to get an additonal line working by the end of the week for his wife.
1298,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1145,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
1163,Wanted to know the nearest store location. Wants to buy additional accessories.
3773,Called about new plan. Might switch soon. Wants more minutes.
309,He does not know if the problems are related to the phone or if it is just the battery.
3683,Called to change his address and see if he could get a new number since he is moving to a different city.
1422,Wants to know how to do text messaging. Referred him to web site.
2661,Wanted to know the nearest store location. Wants to buy additional accessories.
3476,Wants a new faceplate.
1754,I needed a handset which also functioned as a PDA. You did not offer such a model.
24,Asked how to disable call waiting. referred him to web site.
2285,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.
1495,Needed help figuring out his bill. I explained our minute charges.
95,He asked for a new phone number. I referred him to customer care.
903,Wants a new faceplate.
2936,"He hates his phone. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car"
3434,Wanted to know the nearest store location. Wants to buy additional accessories.
884,He hated the phone. Claims that the reception is horrible in many parts of the metropolitian area.
1620,Really wants the new phone from XVYX which has the PDA built in.
1821,Does not like the way the phone works. It is to difficult compared to his last phone.
2664,Wanted to know the nearest store location. Wants to buy additional accessories.
660,Needs help with basic phone usage. I suggested he go back to the store and ask for some help.
455,Called about new plan. Might switch soon. Wants more minutes.
1991,Called about new plan. Might switch soon. Wants more minutes.
1783,The clearity of the calls was bad. Way too much static on the handset.
2277,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
3068,Wanted to know the nearest store location. Wants to buy additional accessories.
372,He hated the phone. Claims that the reception is horrible in many parts of the metropolitian area.
2911,Wants information on our Internet service. Referred him to web site.
3140,Needed help figuring out his bill. I explained our minute charges.
832,He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.
2505,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
910,Wants to know how to do text messaging. Referred him to web site.
2189,Wants to know how to do text messaging. Referred him to web site.
3526,Really is unhappy with the website. Claims the self service stuff does not work.
1791,I wished the handset was bigger. It is uncomfortable using the handset for a long time.
2599,Said his battery never has worked well. Wants a new phone ASAP.
3123,Wanted to know the nearest store location. Wants to buy additional accessories.
3280,Needed help figuring out his bill. I explained our minute charges.
2962,Wants to know how to do text messaging. Referred him to web site.
104,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
1498,Needed help figuring out his bill. I explained our minute charges.
3269,Called about new plan. Might switch soon. Wants more minutes.
2678,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.
1160,Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.
3329,Asked how to disable call waiting. referred him to web site.
3800,Wanted to know the nearest store location. Wants to buy additional accessories.
1639,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
1955,Asked about how to change his ring tones. Referred him to web site.
1353,Said his battery never has worked well. Wants a new phone ASAP.
195,He wanted credit for all these dropped calls. I told him I would pass him onto a supervisor. He was really rude and very upset. Said he could not use us for business purposes because of our useless service.
1138,Wants to add additional lines for family. Needs more info on rates.
622,Wants to change address.
206,Wants to add another phone. Contacting provisioning.
1370,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
2554,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.
673,"He says that we keep sending him the bill to the wrong address. We have his correct billing address. I don’t know why he is not getting it. He was very angry that we shut his service off for not paying. I offered to take a CC, but he was unwilling to do s"
1702,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
534,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
456,Called about new plan. Might switch soon. Wants more minutes.
2946,Wanted to know the nearest store location. Wants to buy additional accessories.
441,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
1479,Called about new plan. Might switch soon. Wants more minutes.
2158,I wished the handset was bigger. It is uncomfortable using the handset for a long time.
2573,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2050,Asked about how to change his ring tones. Referred him to web site.
2504,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
1164,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
218,I needed a handset which also functioned as a PDA. You did not offer such a model.
3559,Asked about how to change his ring tones. Referred him to web site.
2711,Wants to know how to do text messaging. Referred him to web site.
2102,Wanted to know the nearest store location. Wants to buy additional accessories.
238,Wanted to know the nearest store location. Wants to buy additional accessories.
3591,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
3573,Asked how to disable call waiting. referred him to web site.
3281,Needed help figuring out his bill. I explained our minute charges.
1296,The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since we can not keep our end of t
2660,Wanted to know the nearest store location. Wants to buy additional accessories.
1114,He expected significantly better Technical Support.
3681,I expected significantly better Technical Support.
2234,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
464,Wants to change address.
2960,Wanted more information on the family plan. Also asked about how he could use call screening.
2083,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
2550,Wanted to know the nearest store location. Wants to buy additional accessories.
3053,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
3657,Wanted to know the nearest store location. Wants to buy additional accessories.
389,Wants to know how to do text messaging. Referred him to web site.
1824,transferred to manager ASAP
1053,Asked how to disable call waiting. referred him to web site.
2819,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2001,Wants to change address.
1669,He found a better rate and no contract. He said he cold not wait until his contract expired.
751,Wanted to know the nearest store location. Wants to buy additional accessories.
2925,Wanted to know the nearest store location. Wants to buy additional accessories.
3367,Wanted to know the nearest store location. Wants to buy additional accessories.
2235,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
3242,Asked about how to change his ring tones. Referred him to web site.
2600,Wants to add additional lines for family. Needs more info on rates.
1677,Hopes to get an additonal line working by the end of the week for his wife.
438,Wants to know how to do text messaging. Referred him to web site.
1077,He asked for a new phone number. I referred him to customer care.
1822,transferred to manager ASAP
948,Wants to know how to do text messaging. Referred him to web site.
312,Lost the directions to phone and wants another manual. I referred him to web site.
2391,Hopes to get an additonal line working by the end of the week for his wife.
322,transferred to manager ASAP
940,Asked about how to change his ring tones. Referred him to web site.
1521,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
3606,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
3654,The signal on my handset was always weak. Even when I replaced the battery.
476,Needed help figuring out his bill. I explained our minute charges.
1730,Wanted to know the nearest store location. Wants to buy additional accessories.
2926,Wanted to know the nearest store location. Wants to buy additional accessories.
988,Needed help figuring out his bill. I explained our minute charges.
