ID,Sex,Status,Children,Est_Income,Car_Owner,Usage,Age,RatePlan,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,TARGET
83,F,M,2,35976.5,Y,50.63,48.853333,4,18.85,0,31.78,0,Auto,FreeLocal,Intnl_discount,Current
84,F,M,0,32703.1,Y,72.89,64.92,4,16.8,0,56.09,0,CC,Budget,Intnl_discount,Current
85,F,M,1,77129.1,Y,44.85,61.846667,4,24.77,0,20.07,0,CH,FreeLocal,Intnl_discount,Current
86,F,M,2,8204.72,N,39.79,52.973333,3,15.59,0,24.19,0,CH,FreeLocal,Standard,Current
87,M,M,1,97180.4,N,63.51,50.6,4,8.21,9.63,45.66,0,CC,FreeLocal,Standard,Cancelled
88,F,M,0,80405.1,N,28.98,60.226667,4,2.91,8.95,17.11,0,CC,FreeLocal,Standard,Current
89,F,S,2,38280,N,86.61,33.74,4,11.64,0,74.97,0,Auto,FreeLocal,Intnl_discount,Cancelled
90,M,S,0,64136.6,Y,142.37,61.106667,2,16.21,1,125.15,0,CC,FreeLocal,Intnl_discount,Current
92,F,M,2,45429.7,Y,97.74,61.713333,2,24.7,0,73.04,0,CH,FreeLocal,Standard,Cancelled
94,F,S,0,25285.5,N,21.3,53.986667,1,9.37,0,11.93,0,CC,FreeLocal,Standard,Cancelled
95,F,M,2,77551.1,Y,62.42,33.6,2,20.53,0,41.89,1,CC,Budget,Intnl_discount,Current
96,F,M,0,38538.4,N,47.66,12.326667,3,22.86,8.32,16.48,0,CC,FreeLocal,Standard,Cancelled
97,F,S,0,69350.5,Y,27.86,57.42,4,1.9,0,25.95,0,CC,FreeLocal,Standard,Current
104,M,S,2,43634.5,N,143.5,21.78,1,29.44,9.42,104.64,0,CC,Budget,Standard,Cancelled
108,F,S,1,13109.1,N,62.87,62.606667,1,22.38,0,40.48,0,Auto,Budget,Standard,Cancelled
109,M,S,1,92647.5,N,32.13,56.046667,4,16.04,5.74,10.34,0,CC,Budget,Standard,Cancelled
110,F,S,2,21021.6,Y,14.95,62.753333,3,1,0,11.19,0,CC,Budget,Standard,Current
111,M,S,0,74460.7,Y,206.46,55.34,2,25.53,0.99,179.93,0,CC,FreeLocal,Standard,Cancelled
114,F,S,2,28787.4,N,86.06,41.666667,2,27.97,0,58.09,0,Auto,Budget,Standard,Current
117,M,M,1,13091.6,N,43.06,59.126667,2,22.79,0,20.26,0,CC,Budget,Intnl_discount,Current
120,F,M,2,62061.8,Y,82.08,45.92,2,29.86,0,52.22,0,Auto,FreeLocal,Standard,Current
121,F,M,1,20550.9,Y,85.64,22.12,3,27.72,0.86,57.06,0,CC,Budget,Standard,Cancelled
124,M,M,2,1765.41,N,47.99,18.766667,4,3.04,0,44.95,0,CC,FreeLocal,Standard,Current
127,F,S,2,19131.1,N,57.07,56.186667,2,22.15,0,34.91,0,Auto,Budget,Standard,Current
130,F,S,2,83073.7,N,3.2,39.553333,4,0,0,3.2,0,CC,Budget,Standard,Current
133,M,M,2,42750.3,Y,134.97,50.493333,1,20.59,1.97,112.4,0,Auto,Budget,Intnl_discount,Current
135,F,S,2,2842.55,N,0.79,45.92,2,0,0,0.79,0,Auto,Budget,Intnl_discount,Current
136,M,M,2,22358.1,N,29.25,52.626667,1,15.54,1.52,12.19,0,CC,Budget,Standard,Current
138,M,M,0,47870.8,Y,13.82,27.26,2,2,1.17,12.48,0,CC,FreeLocal,Standard,Current
139,F,S,2,6440.46,Y,49.86,52.646667,1,22.66,0,27.2,0,CH,Budget,Standard,Current
140,F,S,0,7325.5,N,190.06,36.92,2,28.52,0,161.54,0,CC,FreeLocal,Intnl_discount,Cancelled
142,M,M,2,28766.9,N,64.2,46.84,1,6.11,0,58.08,0,CC,Budget,Standard,Current
148,M,M,2,91272.2,Y,40,25.033333,3,26.99,0,13.01,0,CC,FreeLocal,Standard,Current
154,M,S,0,65000,Y,137,45.653333,4,11.63,9.7,115.66,1,Auto,FreeLocal,Intnl_discount,Cancelled
158,M,M,2,1406.05,Y,26.72,19.306667,1,11.55,0,15.17,0,CC,Budget,Standard,Current
160,F,S,0,73228.3,N,50.58,62,4,22.47,0,28.11,0,Auto,Budget,Standard,Current
161,F,S,2,76231.9,N,152.76,63.806667,2,2.01,0,150.75,0,Auto,FreeLocal,Standard,Cancelled
166,M,M,1,64792.3,N,51.41,52.146667,3,13.05,1.51,36.84,0,CH,FreeLocal,Standard,Cancelled
169,F,S,0,93322.1,Y,38.72,40.313333,1,29.92,0,8.79,0,CH,Budget,Intnl_discount,Cancelled
174,M,M,1,63437.3,N,14.98,63.653333,4,0.68,3.35,10.94,0,CC,Budget,Intnl_discount,Cancelled
178,M,M,2,49910.7,Y,51.14,51.52,3,27.42,0,23.72,0,CC,Budget,Standard,Current
180,M,M,0,76161.4,Y,37.55,44.573333,4,11.96,0,25.58,0,CC,FreeLocal,Standard,Cancelled
181,F,M,2,55860,Y,26.37,14.573333,3,16.01,0,10.35,0,CC,FreeLocal,Intnl_discount,Current
182,F,S,1,12686,N,103.88,64.8,2,23.23,0,80.64,0,Auto,Budget,Standard,Cancelled
190,M,M,2,57360.8,Y,67.61,53.253333,1,10.36,0,57.25,0,CC,FreeLocal,Standard,Current
191,M,M,0,92414.7,Y,40.06,45.513333,4,29.43,0,10.62,0,CC,FreeLocal,Standard,Cancelled
192,M,M,1,60102.7,N,72.29,42.14,3,9.84,0,62.44,1,CH,FreeLocal,Standard,Cancelled
194,F,M,2,17888.7,N,361.88,55,1,29.41,0,332.46,0,CC,Budget,Standard,Current
195,F,S,1,12526.3,N,40.59,53.553333,2,11.72,0,28.86,0,CC,FreeLocal,Intnl_discount,Cancelled
198,F,S,2,14578.8,Y,107.02,60.933333,1,11.91,0,95.1,0,Auto,Budget,Standard,Current
201,M,M,0,78572.2,Y,51.09,42.346667,4,21.81,0,29.28,1,CC,FreeLocal,Standard,Current
203,F,M,2,48238.8,N,191.32,34.706667,4,23.28,0,168.03,0,CC,FreeLocal,Standard,Current
205,F,M,0,28770.9,N,49.6,12.34,4,27.99,5.32,16.27,0,CH,FreeLocal,Standard,Cancelled
206,F,M,2,87578.2,Y,22.44,53.366667,1,0.29,0,22.15,0,CC,Budget,Standard,Current
207,F,M,2,86695.4,N,58.03,13.906667,2,25.94,0,32.09,0,CC,FreeLocal,Standard,Current
209,F,S,2,76791.2,N,43.71,61,4,20.71,0,23,0,CC,Budget,Intnl_discount,Current
213,F,D,0,30763.8,Y,57.17,14.193333,4,21.32,0,35.85,0,CC,Budget,Standard,Cancelled
214,F,M,2,3193.6,N,118.82,54.046667,3,4.19,0,114.62,1,CH,Budget,Standard,Current
215,M,M,1,69680.9,N,39.8,15.846667,2,7.67,0,32.12,0,CC,FreeLocal,Intnl_discount,Current
218,F,M,0,83287,N,119.82,45.486667,3,29.64,0,90.18,4,Auto,FreeLocal,Intnl_discount,Current
219,M,S,0,2056.06,Y,58.8,18.94,2,24.07,6.98,27.75,0,Auto,Budget,Standard,Cancelled
220,F,M,2,7776.6,N,94.2,35.706667,4,25.87,0,68.33,0,CC,FreeLocal,Standard,Current
221,M,M,1,2067.82,N,85.9,47.853333,4,15.25,0,70.65,0,CC,Budget,Intnl_discount,Current
222,M,S,0,66666,N,20.74,52,1,4.58,7.66,8.49,0,CH,Budget,Standard,Cancelled
224,F,M,2,69343.3,N,21.91,42.166667,2,6.36,0,15.54,0,CC,FreeLocal,Standard,Current
225,F,M,0,77000,N,24.46,55,4,0.57,0,23.89,2,Auto,Budget,Standard,Current
228,F,M,0,14932.5,N,11.42,52,1,4.91,0,6.5,0,CC,Budget,Intnl_discount,Current
229,F,S,0,27498.1,N,12.08,42,4,2.2,0,9.88,0,CC,Budget,Intnl_discount,Current
231,F,M,2,21419.9,N,129.51,59.833333,1,26.39,0,103.12,0,CC,FreeLocal,Standard,Current
232,F,M,2,30665.2,Y,77.44,22.88,3,5.83,8.32,63.28,0,Auto,FreeLocal,Standard,Current
233,F,M,1,66000,Y,37.04,63.353333,2,6.08,0,30.95,0,Auto,FreeLocal,Intnl_discount,Current
234,F,M,2,50561.3,N,129.91,52,2,16.6,0,113.31,1,CH,Budget,Standard,Current
236,F,S,2,23464,Y,64.14,70,3,22.43,0,41.71,0,CC,Budget,Intnl_discount,Current
237,F,M,2,194.57,N,67.21,42,4,28.26,0,38.95,0,CC,FreeLocal,Standard,Current
238,F,M,1,98680.4,Y,26.44,55,4,17.58,0,8.85,0,CH,FreeLocal,Intnl_discount,Current
239,M,M,1,65619.7,Y,158.22,46,3,13.56,0,144.66,0,CC,Budget,Standard,Current
240,F,M,1,95620.3,Y,104.53,52,2,10.91,0,93.61,0,CC,Budget,Standard,Current
241,F,S,0,85275,N,174.09,47,2,22.48,0,151.61,0,Auto,FreeLocal,Intnl_discount,Current
242,F,M,1,66921.4,Y,24.67,43,3,15.7,0,8.97,0,CC,FreeLocal,Intnl_discount,Current
243,F,M,1,98453.6,Y,25.38,46,3,13.72,0,11.65,0,Auto,FreeLocal,Standard,Current
244,F,M,2,94026.8,Y,35.63,27.746667,3,25,0,10.62,0,CC,FreeLocal,Intnl_discount,Current
246,F,S,2,57420,Y,277.72,61,2,25.18,0,252.53,1,Auto,Budget,Standard,Current
247,M,M,0,77000,N,34.35,44,4,3.93,3.73,26.69,1,CH,FreeLocal,Standard,Current
249,M,M,2,47639.1,N,57.11,48,4,17.48,0,39.62,0,CC,Budget,Intnl_discount,Current
250,F,M,2,63234.5,Y,1.16,52.36,3,0,0,1.16,0,CH,FreeLocal,Intnl_discount,Current
254,F,M,2,18296.4,Y,10.47,42.626667,3,0.08,0,10.39,0,CC,FreeLocal,Standard,Current
255,F,S,0,39461,N,126.68,22.226667,4,22.87,0.28,103.52,1,CC,FreeLocal,Standard,Current
257,F,S,1,68000,N,86.12,60,3,22.82,0,63.29,0,Auto,FreeLocal,Standard,Current
260,F,M,2,52957,Y,151.32,39.746667,2,25.79,0,125.52,2,CH,FreeLocal,Standard,Current
261,F,S,2,86747.1,N,57.4,64.853333,3,20.15,0,37.24,0,Auto,Budget,Standard,Current
263,F,M,1,87404.6,N,160.84,63.186667,3,21.63,0,139.2,0,Auto,Budget,Standard,Current
264,M,S,2,20919,N,164.54,27.886667,2,6.26,4.92,153.36,0,CC,FreeLocal,Intnl_discount,Current
265,F,M,2,85394,Y,35.69,20.16,4,19.28,2.02,14.38,1,Auto,Budget,Intnl_discount,Current
266,F,S,0,2121.36,N,38.8,39.786667,3,2.02,0,36.78,1,CC,FreeLocal,Standard,Cancelled
267,F,M,2,63566.1,Y,73.03,56.3,2,7.94,0,65.09,0,CH,Budget,Intnl_discount,Current
270,F,S,0,89813.6,N,166.18,12.846667,4,14.94,1.96,149.26,0,CC,FreeLocal,Intnl_discount,Current
271,F,M,2,25738.4,N,48.67,50.08,1,19.88,9.57,19.2,0,CH,Budget,Standard,Current
272,F,M,2,82644.2,Y,41.85,33.493333,4,21.97,0,19.88,0,CC,FreeLocal,Intnl_discount,Current
273,F,S,1,27783.6,N,29.58,14.04,3,4.97,6.53,18.07,0,CC,FreeLocal,Standard,Cancelled
276,F,M,2,60485.5,N,40.41,41.666667,1,11.7,0,28.7,0,Auto,Budget,Intnl_discount,Current
279,F,M,2,809.43,Y,2.89,31.913333,1,0,0,2.89,0,CH,FreeLocal,Intnl_discount,Current
280,M,S,1,76529.8,N,43.89,58.28,1,18.46,5.36,20.05,0,CC,Budget,Standard,Cancelled
281,F,M,2,34577.7,N,145.75,63.253333,2,29.18,0,116.57,3,CH,Budget,Standard,Current
283,F,M,0,80000,N,73.02,48,3,27.56,0,45.46,0,Auto,Budget,Standard,Current
284,F,S,2,19008.4,Y,147.74,52.166667,4,10.54,0,137.19,0,CC,FreeLocal,Standard,Current
285,F,M,0,98056.3,N,150.67,55.966667,3,23.7,0,126.96,0,Auto,FreeLocal,Standard,Current
286,M,M,0,73400,Y,2.21,64.226667,4,0,0,2.21,0,CH,Budget,Standard,Cancelled
288,M,M,0,78894.2,N,46.65,28,2,2,1.41,43.23,0,CH,Budget,Intnl_discount,Current
289,M,S,1,16432.1,Y,109.78,20.92,1,20.41,8.89,80.47,0,CH,Budget,Intnl_discount,Cancelled
290,M,M,0,62797.9,N,68.09,54.446667,1,8.32,4.28,55.48,0,CH,Budget,Intnl_discount,Cancelled
291,M,S,1,71329.9,Y,63.75,42.233333,3,14.27,3.55,45.92,0,CC,Budget,Standard,Cancelled
295,F,S,0,20913.6,N,95.93,53.013333,4,22.99,7.16,65.77,0,CC,FreeLocal,Standard,Cancelled
298,F,S,1,540.4,Y,20.1,39.213333,4,12.34,0,7.75,0,Auto,Budget,Intnl_discount,Cancelled
302,M,M,2,67339.8,N,81.72,17.006667,2,27.83,5.19,48.69,0,CC,FreeLocal,Intnl_discount,Current
304,M,M,1,75799.9,N,94.06,46.38,3,22.24,7.02,64.8,0,CC,FreeLocal,Intnl_discount,Cancelled
305,F,S,2,15688.5,N,22.42,53.06,4,14.39,0,8.03,0,CC,Budget,Standard,Cancelled
306,F,S,0,43382.3,N,138.37,16.073333,2,29.67,8.76,99.94,0,CH,FreeLocal,Standard,Cancelled
308,F,S,0,5185.31,N,52.9,62.053333,2,16.39,5.99,30.51,0,CC,FreeLocal,Intnl_discount,Cancelled
309,F,S,0,41000,N,134.45,16.06,4,26.01,0,108.44,0,CC,Budget,Standard,Cancelled
310,F,S,0,32098,N,106.53,22.433333,2,22.96,8.28,75.27,0,CH,Budget,Intnl_discount,Cancelled
312,F,M,2,80087.7,N,31.56,41.92,4,8.74,0,22.82,0,CC,FreeLocal,Standard,Current
313,F,M,2,59691.3,N,278.65,38.04,2,21.94,0,256.7,0,CC,Budget,Standard,Current
315,F,S,2,11251.1,Y,141.91,61,2,28.42,0,113.48,0,CC,FreeLocal,Standard,Current
317,M,M,0,70908.7,N,55.47,49.62,4,7.7,4.55,43.2,0,CC,FreeLocal,Standard,Cancelled
318,M,S,0,94928.3,N,93.78,40.18,4,14.42,5.61,73.74,0,CH,FreeLocal,Standard,Cancelled
320,F,M,2,50622.3,N,112.72,40.46,2,20.45,2.07,90.19,0,Auto,FreeLocal,Standard,Current
322,M,M,0,78000,Y,39.32,52.266667,3,16.2,4.27,18.84,0,CC,FreeLocal,Intnl_discount,Cancelled
326,M,M,0,100020,Y,92.37,52.266667,4,29.55,0,62.81,0,CH,Budget,Standard,Cancelled
329,F,M,1,56722.8,N,74.77,60.593333,2,17.37,6.21,51.17,0,CC,FreeLocal,Standard,Current
331,M,M,1,80000,N,3.22,53.213333,3,0,0,3.22,0,CC,Budget,Intnl_discount,Cancelled
332,F,S,2,3416.62,Y,123.7,22.76,4,18.97,0,104.73,0,CC,Budget,Standard,Current
333,F,M,0,73400,Y,10.39,55.633333,2,0.17,0,10.22,0,Auto,Budget,Standard,Current
334,M,M,0,120000,Y,40.9,53.213333,4,15.27,0,25.62,0,CC,FreeLocal,Standard,Cancelled
335,F,M,2,8032.16,N,88.77,45.666667,2,29.68,0,59.08,0,CC,FreeLocal,Standard,Current
336,F,S,1,93454.3,Y,44.13,48.533333,4,18.94,0,25.18,0,Auto,FreeLocal,Standard,Current
337,M,M,0,5745,Y,44.11,15.38,1,26.4,0,17.71,0,CC,FreeLocal,Standard,Cancelled
338,F,S,0,83287,N,215.96,77,4,0.41,7.35,208.19,0,Auto,Budget,Standard,Current
339,F,S,0,92564.1,Y,74.86,49.133333,3,23.17,0,51.68,0,Auto,FreeLocal,Standard,Current
341,M,S,0,86448.2,Y,90.25,38.133333,2,4.91,3.14,82.19,0,CC,Budget,Intnl_discount,Cancelled
343,F,M,2,48322.5,Y,50.29,49.333333,1,6.69,0,43.6,0,CC,FreeLocal,Standard,Current
346,F,M,2,81913.8,Y,53.03,49.66,1,6.7,0,46.33,0,CC,FreeLocal,Standard,Current
349,F,S,0,919.93,N,120.71,38.26,3,27.28,0,93.42,0,CH,Budget,Standard,Cancelled
350,F,M,2,69486.8,N,17.11,30.946667,1,7.72,0,9.39,1,CC,Budget,Standard,Current
351,F,M,2,24482.8,N,2,33.533333,4,0,0,2,0,CH,Budget,Intnl_discount,Current
353,F,M,0,14573.6,N,263.58,64.606667,4,26.61,0,236.97,0,CC,Budget,Standard,Current
354,F,M,2,92103.8,N,14.86,52.153333,3,7.42,0,7.43,0,CC,Budget,Standard,Current
355,F,S,2,8392.14,Y,87.16,36.68,3,25.03,7.33,54.8,0,CH,Budget,Intnl_discount,Current
356,F,S,0,17138.2,N,104.69,63.786667,3,20.01,0,84.67,0,CC,FreeLocal,Intnl_discount,Cancelled
358,F,M,2,47010.1,N,167.31,57.406667,1,2.54,0,164.76,0,CC,Budget,Intnl_discount,Current
360,F,S,1,67239.4,N,66.7,44.433333,2,12.89,0,53.81,0,Auto,FreeLocal,Intnl_discount,Current
361,M,M,1,69406.7,Y,142.23,30,2,6.9,7.21,128.1,1,CC,FreeLocal,Standard,Current
363,F,M,2,83259.3,N,4.46,50.88,4,0,0,4.46,0,CC,Budget,Standard,Current
365,M,S,2,60095.2,Y,117.85,23.313333,2,1.71,0,116.14,0,Auto,Budget,Standard,Current
370,F,M,2,2185.6,N,28.07,52.513333,1,7.12,0,20.95,1,CH,Budget,Standard,Current
372,M,M,1,76511.3,N,42.52,62.08,2,21.68,3.46,17.37,0,CC,FreeLocal,Standard,Cancelled
374,F,M,1,6946.07,N,34.61,23,2,25.77,0,8.84,0,CH,FreeLocal,Standard,Cancelled
375,F,M,2,11234.7,Y,113.42,49.046667,3,0.69,0,112.72,0,CC,Budget,Standard,Current
377,F,M,2,36660.9,Y,3.36,39.96,1,0,0,3.36,1,CH,Budget,Intnl_discount,Cancelled
379,F,M,2,68462.8,N,90.84,34.4,2,24.39,5.93,60.51,0,CC,FreeLocal,Standard,Current
382,F,M,2,72841.3,N,82.53,47.02,1,10.36,0,72.16,0,CC,Budget,Standard,Current
383,F,M,2,63670.8,Y,78.87,46.146667,2,27.39,0,51.47,0,Auto,FreeLocal,Standard,Current
384,M,S,0,83287,N,70.7,45.486667,2,29.73,5.24,35.73,0,CC,Budget,Standard,Cancelled
385,F,S,1,66000,Y,120.53,45.486667,1,20.44,0,100.08,0,Auto,Budget,Standard,Current
386,M,M,0,12387.6,N,93.85,56.173333,2,7,0,65.93,0,Auto,FreeLocal,Standard,Current
388,F,M,1,82931.3,N,137.25,64.64,2,19.24,0,118,0,Auto,FreeLocal,Standard,Cancelled
389,F,M,2,57483.9,N,44.3,44.026667,2,17.01,0,27.29,0,CH,Budget,Standard,Current
391,F,S,2,21274,N,43.31,45.526667,2,10.87,0,32.43,0,Auto,FreeLocal,Standard,Cancelled
392,F,M,2,28267,N,214.41,30.093333,2,21.87,0,192.53,0,CC,FreeLocal,Standard,Current
394,F,M,2,36725.1,N,94.88,55.793333,2,8.65,9.22,77,0,CH,Budget,Standard,Current
398,M,S,1,94188.3,N,41.51,57.546667,2,20.86,0.86,19.78,0,CC,Budget,Standard,Cancelled
401,F,M,2,91861,Y,22.06,41.98,3,15.32,0,6.74,0,CC,Budget,Standard,Current
404,F,S,1,12374.9,Y,123.59,33.493333,3,17.49,0,106.1,0,Auto,FreeLocal,Standard,Cancelled
405,F,M,2,69133.9,Y,46.32,26.833333,2,8.58,0,37.73,0,CH,FreeLocal,Standard,Current
407,F,M,2,84948,Y,23.73,29.446667,3,11.14,0,12.58,0,CH,FreeLocal,Intnl_discount,Current
408,F,M,2,30998.8,N,52.91,40.96,2,2.4,0,50.5,0,Auto,Budget,Standard,Cancelled
410,M,S,0,15924.2,N,1.46,14.46,2,0,0,1.46,0,CH,FreeLocal,Standard,Current
414,M,M,2,21416.5,N,27.61,35.653333,1,9.9,9.17,8.53,0,CC,FreeLocal,Intnl_discount,Current
418,M,M,2,78554.2,N,35.88,16.7,3,5.59,7.26,23.03,0,Auto,Budget,Standard,Current
419,M,S,1,3960.5,N,96.13,14.693333,2,29.78,0,66.35,0,Auto,FreeLocal,Standard,Cancelled
421,M,M,0,60101.1,Y,157.96,63.766667,4,27.7,6.11,124.14,2,CH,FreeLocal,Standard,Cancelled
422,F,M,2,38215.9,N,0.97,30.886667,2,0,0,0.97,0,Auto,Budget,Standard,Current
423,F,M,1,13829.4,N,176.61,22,1,28,0,160.42,0,CC,FreeLocal,Standard,Cancelled
424,F,M,2,49745.3,N,27.28,47.966667,3,2.84,0,24.44,0,CH,Budget,Intnl_discount,Current
426,F,M,2,88427,N,69.97,13.86,3,22.46,4.16,43.34,0,CC,Budget,Standard,Current
427,F,M,2,98003.7,Y,84.42,26.273333,1,1.03,0,83.39,0,CC,FreeLocal,Intnl_discount,Current
428,M,S,0,89142.7,N,16.91,33,2,3.76,8.13,5.01,0,CC,Budget,Intnl_discount,Current
429,F,S,0,74530.8,N,127.89,63.086667,2,20.89,0.49,106.5,0,Auto,FreeLocal,Intnl_discount,Current
431,F,S,0,35000,N,265.78,23,3,30,0,262.91,0,CC,Budget,Standard,Cancelled
436,F,M,2,76289.2,N,104.63,48.206667,2,22.2,0,82.43,0,CC,Budget,Intnl_discount,Current
438,M,M,1,66931.9,N,17.46,63.933333,4,11.72,0.39,5.35,0,CC,Budget,Standard,Cancelled
439,F,D,1,9309.57,Y,108.3,24,2,40,0,99.73,0,CC,FreeLocal,Standard,Cancelled
440,F,M,1,14085.5,N,48.08,23,1,26,0,26.78,0,Auto,FreeLocal,Intnl_discount,Cancelled
441,F,S,0,32962.6,N,168.28,19,2,27,0,154.77,0,CC,Budget,Intnl_discount,Cancelled
442,F,S,0,40000,N,65.79,20,2,26,0,61.44,0,CC,Budget,Standard,Current
443,F,S,2,33330,N,41.78,21,3,33,0,35.73,0,Auto,Budget,Standard,Current
444,F,S,1,32098,N,23.52,22,1,33,0,9.51,0,Auto,Budget,Intnl_discount,Cancelled
445,F,S,2,30090,N,62.95,24,1,37,2.22,38.18,0,CC,FreeLocal,Standard,Cancelled
446,F,S,1,40120,N,134.75,24,4,28.45,0,106.3,0,CC,Budget,Standard,Cancelled
450,F,M,2,90271.6,N,110.4,44.926667,4,13.96,0,96.43,0,CC,FreeLocal,Standard,Cancelled
455,F,M,2,64816.6,Y,27.87,31.126667,2,21,0,6.87,0,CC,Budget,Standard,Current
456,F,M,2,98217.1,N,42.74,44.98,1,29.49,0,13.24,0,CC,FreeLocal,Standard,Current
458,F,S,1,2929.13,N,102.23,53.506667,1,14,0,88.23,0,CH,Budget,Intnl_discount,Cancelled
460,F,M,2,41876.6,Y,139.44,44.093333,3,6.78,0,132.65,0,CC,FreeLocal,Standard,Current
461,M,M,0,96223.4,Y,18.18,64.76,1,11.81,0.63,5.73,0,CC,FreeLocal,Standard,Cancelled
462,F,S,0,15989.3,N,29.17,61.693333,4,3.67,0,25.49,1,CC,Budget,Intnl_discount,Cancelled
463,M,M,0,69168.4,Y,234.91,62.426667,2,14.16,6.01,214.73,0,CC,Budget,Standard,Cancelled
464,M,M,1,92148.5,Y,113.68,33,2,3,0,100.9,0,CC,Budget,Intnl_discount,Cancelled
465,M,M,0,96681,Y,73.76,19.76,2,7,7.66,40.92,0,CC,Budget,Standard,Current
466,M,S,0,62705.9,Y,33.44,32,2,8,0,6.81,0,CC,FreeLocal,Intnl_discount,Current
467,M,S,0,80221.2,N,50.48,29.026667,2,9,0,49.56,0,Auto,FreeLocal,Standard,Current
468,M,S,0,84479.2,N,56.23,30,2,7,0,43.01,0,CC,FreeLocal,Standard,Current
